train: n=512 dim=52 alpha_eff=3.91e-04 lam=0.7 eps 0.15->0.02
start eval: 97.5% vs random
  [A-vs-random] game 2600/40000 (total 2600)
  [A-vs-random] game 2625/40000 (total 2625)
  [A-vs-random] game 2650/40000 (total 2650)
  [A-vs-random] game 2675/40000 (total 2675)
  [A-vs-random] game 2700/40000 (total 2700)
  [A-vs-random] game 2725/40000 (total 2725)
  [A-vs-random] game 2750/40000 (total 2750)
  [A-vs-random] game 2775/40000 (total 2775)
  [A-vs-random] game 2800/40000 (total 2800)
  [A-vs-random] game 2825/40000 (total 2825)
  [A-vs-random] game 2850/40000 (total 2850)
  [A-vs-random] game 2875/40000 (total 2875)
  [A-vs-random] game 2900/40000 (total 2900)
  [A-vs-random] game 2925/40000 (total 2925)
  [A-vs-random] game 2950/40000 (total 2950)
  [A-vs-random] game 2975/40000 (total 2975)
  [A-vs-random] game 3000/40000 (total 3000)
  [A-vs-random] game 3025/40000 (total 3025)
  [A-vs-random] game 3050/40000 (total 3050)
  [A-vs-random] game 3075/40000 (total 3075)
  [A-vs-random] game 3100/40000 (total 3100)
  [A-vs-random] game 3125/40000 (total 3125)
  [A-vs-random] game 3150/40000 (total 3150)
  [A-vs-random] game 3175/40000 (total 3175)
  [A-vs-random] game 3200/40000 (total 3200)
  [A-vs-random] game 3225/40000 (total 3225)
  [A-vs-random] game 3250/40000 (total 3250)
  [A-vs-random] game 3275/40000 (total 3275)
  [A-vs-random] game 3300/40000 (total 3300)
  [A-vs-random] game 3325/40000 (total 3325)
  [A-vs-random] game 3350/40000 (total 3350)
  [A-vs-random] game 3375/40000 (total 3375)
  [A-vs-random] game 3400/40000 (total 3400)
  [A-vs-random] game 3425/40000 (total 3425)
  [A-vs-random] game 3450/40000 (total 3450)
  [A-vs-random] game 3475/40000 (total 3475)
  [A-vs-random] game 3500/40000 (total 3500)
  [A-vs-random] game 3525/40000 (total 3525)
  [A-vs-random] game 3550/40000 (total 3550)
  [A-vs-random] game 3575/40000 (total 3575)
  [A-vs-random] game 3600/40000 (total 3600)
  [A-vs-random] game 3625/40000 (total 3625)
  [A-vs-random] game 3650/40000 (total 3650)
  [A-vs-random] game 3675/40000 (total 3675)
  [A-vs-random] game 3700/40000 (total 3700)
  [A-vs-random] game 3725/40000 (total 3725)
  [A-vs-random] game 3750/40000 (total 3750)
  [A-vs-random] game 3775/40000 (total 3775)
  [A-vs-random] game 3800/40000 (total 3800)
  [A-vs-random] game 3825/40000 (total 3825)
  [A-vs-random] game 3850/40000 (total 3850)
  [A-vs-random] game 3875/40000 (total 3875)
  [A-vs-random] game 3900/40000 (total 3900)
  [A-vs-random] game 3925/40000 (total 3925)
  [A-vs-random] game 3950/40000 (total 3950)
  [A-vs-random] game 3975/40000 (total 3975)
  [A-vs-random] game 4000/40000 (total 4000)
  eval@4000: 95.0% vs random
  [A-vs-random] game 4025/40000 (total 4025)
  [A-vs-random] game 4050/40000 (total 4050)
  [A-vs-random] game 4075/40000 (total 4075)
  [A-vs-random] game 4100/40000 (total 4100)
  [A-vs-random] game 4125/40000 (total 4125)
  [A-vs-random] game 4150/40000 (total 4150)
  [A-vs-random] game 4175/40000 (total 4175)
  [A-vs-random] game 4200/40000 (total 4200)
  [A-vs-random] game 4225/40000 (total 4225)
  [A-vs-random] game 4250/40000 (total 4250)
  [A-vs-random] game 4275/40000 (total 4275)
  [A-vs-random] game 4300/40000 (total 4300)
  [A-vs-random] game 4325/40000 (total 4325)
  [A-vs-random] game 4350/40000 (total 4350)
  [A-vs-random] game 4375/40000 (total 4375)
  [A-vs-random] game 4400/40000 (total 4400)
  [A-vs-random] game 4425/40000 (total 4425)
  [A-vs-random] game 4450/40000 (total 4450)
  [A-vs-random] game 4475/40000 (total 4475)
  [A-vs-random] game 4500/40000 (total 4500)
  [A-vs-random] game 4525/40000 (total 4525)
  [A-vs-random] game 4550/40000 (total 4550)
  [A-vs-random] game 4575/40000 (total 4575)
  [A-vs-random] game 4600/40000 (total 4600)
  [A-vs-random] game 4625/40000 (total 4625)
  [A-vs-random] game 4650/40000 (total 4650)
  [A-vs-random] game 4675/40000 (total 4675)
  [A-vs-random] game 4700/40000 (total 4700)
  [A-vs-random] game 4725/40000 (total 4725)
  [A-vs-random] game 4750/40000 (total 4750)
  [A-vs-random] game 4775/40000 (total 4775)
  [A-vs-random] game 4800/40000 (total 4800)
  [A-vs-random] game 4825/40000 (total 4825)
  [A-vs-random] game 4850/40000 (total 4850)
  [A-vs-random] game 4875/40000 (total 4875)
  [A-vs-random] game 4900/40000 (total 4900)
  [A-vs-random] game 4925/40000 (total 4925)
  [A-vs-random] game 4950/40000 (total 4950)
  [A-vs-random] game 4975/40000 (total 4975)
  [A-vs-random] game 5000/40000 (total 5000)
  [A-vs-random] game 5025/40000 (total 5025)
  [A-vs-random] game 5050/40000 (total 5050)
  [A-vs-random] game 5075/40000 (total 5075)
  [A-vs-random] game 5100/40000 (total 5100)
  [A-vs-random] game 5125/40000 (total 5125)
  [A-vs-random] game 5150/40000 (total 5150)
  [A-vs-random] game 5175/40000 (total 5175)
  [A-vs-random] game 5200/40000 (total 5200)
  [A-vs-random] game 5225/40000 (total 5225)
  [A-vs-random] game 5250/40000 (total 5250)
  [A-vs-random] game 5275/40000 (total 5275)
  [A-vs-random] game 5300/40000 (total 5300)
  [A-vs-random] game 5325/40000 (total 5325)
  [A-vs-random] game 5350/40000 (total 5350)
  [A-vs-random] game 5375/40000 (total 5375)
  [A-vs-random] game 5400/40000 (total 5400)
  [A-vs-random] game 5425/40000 (total 5425)
  [A-vs-random] game 5450/40000 (total 5450)
  [A-vs-random] game 5475/40000 (total 5475)
  [A-vs-random] game 5500/40000 (total 5500)
  [A-vs-random] game 5525/40000 (total 5525)
  [A-vs-random] game 5550/40000 (total 5550)
  [A-vs-random] game 5575/40000 (total 5575)
  [A-vs-random] game 5600/40000 (total 5600)
  [A-vs-random] game 5625/40000 (total 5625)
  [A-vs-random] game 5650/40000 (total 5650)
  [A-vs-random] game 5675/40000 (total 5675)
  [A-vs-random] game 5700/40000 (total 5700)
  [A-vs-random] game 5725/40000 (total 5725)
  [A-vs-random] game 5750/40000 (total 5750)
  [A-vs-random] game 5775/40000 (total 5775)
  [A-vs-random] game 5800/40000 (total 5800)
  [A-vs-random] game 5825/40000 (total 5825)
  [A-vs-random] game 5850/40000 (total 5850)
  [A-vs-random] game 5875/40000 (total 5875)
  [A-vs-random] game 5900/40000 (total 5900)
  [A-vs-random] game 5925/40000 (total 5925)
  [A-vs-random] game 5950/40000 (total 5950)
  [A-vs-random] game 5975/40000 (total 5975)
  [A-vs-random] game 6000/40000 (total 6000)
  eval@6000: 92.5% vs random
  [A-vs-random] game 6025/40000 (total 6025)
  [A-vs-random] game 6050/40000 (total 6050)
  [A-vs-random] game 6075/40000 (total 6075)
  [A-vs-random] game 6100/40000 (total 6100)
  [A-vs-random] game 6125/40000 (total 6125)
  [A-vs-random] game 6150/40000 (total 6150)
  [A-vs-random] game 6175/40000 (total 6175)
  [A-vs-random] game 6200/40000 (total 6200)
  [A-vs-random] game 6225/40000 (total 6225)
  [A-vs-random] game 6250/40000 (total 6250)
  [A-vs-random] game 6275/40000 (total 6275)
  [A-vs-random] game 6300/40000 (total 6300)
  [A-vs-random] game 6325/40000 (total 6325)
  [A-vs-random] game 6350/40000 (total 6350)
  [A-vs-random] game 6375/40000 (total 6375)
  [A-vs-random] game 6400/40000 (total 6400)
  [A-vs-random] game 6425/40000 (total 6425)
  [A-vs-random] game 6450/40000 (total 6450)
  [A-vs-random] game 6475/40000 (total 6475)
  [A-vs-random] game 6500/40000 (total 6500)
  [A-vs-random] game 6525/40000 (total 6525)
  [A-vs-random] game 6550/40000 (total 6550)
  [A-vs-random] game 6575/40000 (total 6575)
  [A-vs-random] game 6600/40000 (total 6600)
  [A-vs-random] game 6625/40000 (total 6625)
  [A-vs-random] game 6650/40000 (total 6650)
  [A-vs-random] game 6675/40000 (total 6675)
  [A-vs-random] game 6700/40000 (total 6700)
  [A-vs-random] game 6725/40000 (total 6725)
  [A-vs-random] game 6750/40000 (total 6750)
  [A-vs-random] game 6775/40000 (total 6775)
  [A-vs-random] game 6800/40000 (total 6800)
  [A-vs-random] game 6825/40000 (total 6825)
  [A-vs-random] game 6850/40000 (total 6850)
  [A-vs-random] game 6875/40000 (total 6875)
  [A-vs-random] game 6900/40000 (total 6900)
  [A-vs-random] game 6925/40000 (total 6925)
  [A-vs-random] game 6950/40000 (total 6950)
  [A-vs-random] game 6975/40000 (total 6975)
  [A-vs-random] game 7000/40000 (total 7000)
  [A-vs-random] game 7025/40000 (total 7025)
  [A-vs-random] game 7050/40000 (total 7050)
  [A-vs-random] game 7075/40000 (total 7075)
  [A-vs-random] game 7100/40000 (total 7100)
  [A-vs-random] game 7125/40000 (total 7125)
  [A-vs-random] game 7150/40000 (total 7150)
  [A-vs-random] game 7175/40000 (total 7175)
  [A-vs-random] game 7200/40000 (total 7200)
  [A-vs-random] game 7225/40000 (total 7225)
  [A-vs-random] game 7250/40000 (total 7250)
  [A-vs-random] game 7275/40000 (total 7275)
  [A-vs-random] game 7300/40000 (total 7300)
  [A-vs-random] game 7325/40000 (total 7325)
  [A-vs-random] game 7350/40000 (total 7350)
  [A-vs-random] game 7375/40000 (total 7375)
  [A-vs-random] game 7400/40000 (total 7400)
  [A-vs-random] game 7425/40000 (total 7425)
  [A-vs-random] game 7450/40000 (total 7450)
  [A-vs-random] game 7475/40000 (total 7475)
  [A-vs-random] game 7500/40000 (total 7500)
  [A-vs-random] game 7525/40000 (total 7525)
  [A-vs-random] game 7550/40000 (total 7550)
  [A-vs-random] game 7575/40000 (total 7575)
  [A-vs-random] game 7600/40000 (total 7600)
  [A-vs-random] game 7625/40000 (total 7625)
  [A-vs-random] game 7650/40000 (total 7650)
  [A-vs-random] game 7675/40000 (total 7675)
  [A-vs-random] game 7700/40000 (total 7700)
  [A-vs-random] game 7725/40000 (total 7725)
  [A-vs-random] game 7750/40000 (total 7750)
  [A-vs-random] game 7775/40000 (total 7775)
  [A-vs-random] game 7800/40000 (total 7800)
  [A-vs-random] game 7825/40000 (total 7825)
  [A-vs-random] game 7850/40000 (total 7850)
  [A-vs-random] game 7875/40000 (total 7875)
  [A-vs-random] game 7900/40000 (total 7900)
  [A-vs-random] game 7925/40000 (total 7925)
  [A-vs-random] game 7950/40000 (total 7950)
  [A-vs-random] game 7975/40000 (total 7975)
  [A-vs-random] game 8000/40000 (total 8000)
  eval@8000: 92.5% vs random
  [A-vs-random] game 8025/40000 (total 8025)
  [A-vs-random] game 8050/40000 (total 8050)
  [A-vs-random] game 8075/40000 (total 8075)
  [A-vs-random] game 8100/40000 (total 8100)
  [A-vs-random] game 8125/40000 (total 8125)
  [A-vs-random] game 8150/40000 (total 8150)
  [A-vs-random] game 8175/40000 (total 8175)
  [A-vs-random] game 8200/40000 (total 8200)
  [A-vs-random] game 8225/40000 (total 8225)
  [A-vs-random] game 8250/40000 (total 8250)
  [A-vs-random] game 8275/40000 (total 8275)
  [A-vs-random] game 8300/40000 (total 8300)
  [A-vs-random] game 8325/40000 (total 8325)
  [A-vs-random] game 8350/40000 (total 8350)
  [A-vs-random] game 8375/40000 (total 8375)
  [A-vs-random] game 8400/40000 (total 8400)
  [A-vs-random] game 8425/40000 (total 8425)
  [A-vs-random] game 8450/40000 (total 8450)
  [A-vs-random] game 8475/40000 (total 8475)
  [A-vs-random] game 8500/40000 (total 8500)
  [A-vs-random] game 8525/40000 (total 8525)
  [A-vs-random] game 8550/40000 (total 8550)
  [A-vs-random] game 8575/40000 (total 8575)
  [A-vs-random] game 8600/40000 (total 8600)
  [A-vs-random] game 8625/40000 (total 8625)
  [A-vs-random] game 8650/40000 (total 8650)
  [A-vs-random] game 8675/40000 (total 8675)
  [A-vs-random] game 8700/40000 (total 8700)
  [A-vs-random] game 8725/40000 (total 8725)
  [A-vs-random] game 8750/40000 (total 8750)
  [A-vs-random] game 8775/40000 (total 8775)
  [A-vs-random] game 8800/40000 (total 8800)
  [A-vs-random] game 8825/40000 (total 8825)
  [A-vs-random] game 8850/40000 (total 8850)
  [A-vs-random] game 8875/40000 (total 8875)
  [A-vs-random] game 8900/40000 (total 8900)
  [A-vs-random] game 8925/40000 (total 8925)
  [A-vs-random] game 8950/40000 (total 8950)
  [A-vs-random] game 8975/40000 (total 8975)
  [A-vs-random] game 9000/40000 (total 9000)
  [A-vs-random] game 9025/40000 (total 9025)
  [A-vs-random] game 9050/40000 (total 9050)
  [A-vs-random] game 9075/40000 (total 9075)
  [A-vs-random] game 9100/40000 (total 9100)
  [A-vs-random] game 9125/40000 (total 9125)
  [A-vs-random] game 9150/40000 (total 9150)
  [A-vs-random] game 9175/40000 (total 9175)
  [A-vs-random] game 9200/40000 (total 9200)
  [A-vs-random] game 9225/40000 (total 9225)
  [A-vs-random] game 9250/40000 (total 9250)
  [A-vs-random] game 9275/40000 (total 9275)
  [A-vs-random] game 9300/40000 (total 9300)
  [A-vs-random] game 9325/40000 (total 9325)
  [A-vs-random] game 9350/40000 (total 9350)
  [A-vs-random] game 9375/40000 (total 9375)
  [A-vs-random] game 9400/40000 (total 9400)
  [A-vs-random] game 9425/40000 (total 9425)
  [A-vs-random] game 9450/40000 (total 9450)
  [A-vs-random] game 9475/40000 (total 9475)
  [A-vs-random] game 9500/40000 (total 9500)
  [A-vs-random] game 9525/40000 (total 9525)
  [A-vs-random] game 9550/40000 (total 9550)
  [A-vs-random] game 9575/40000 (total 9575)
  [A-vs-random] game 9600/40000 (total 9600)
  [A-vs-random] game 9625/40000 (total 9625)
  [A-vs-random] game 9650/40000 (total 9650)
  [A-vs-random] game 9675/40000 (total 9675)
  [A-vs-random] game 9700/40000 (total 9700)
  [A-vs-random] game 9725/40000 (total 9725)
  [A-vs-random] game 9750/40000 (total 9750)
  [A-vs-random] game 9775/40000 (total 9775)
  [A-vs-random] game 9800/40000 (total 9800)
  [A-vs-random] game 9825/40000 (total 9825)
  [A-vs-random] game 9850/40000 (total 9850)
  [A-vs-random] game 9875/40000 (total 9875)
  [A-vs-random] game 9900/40000 (total 9900)
  [A-vs-random] game 9925/40000 (total 9925)
  [A-vs-random] game 9950/40000 (total 9950)
  [A-vs-random] game 9975/40000 (total 9975)
  [A-vs-random] game 10000/40000 (total 10000)
  eval@10000: 100.0% vs random
  new best -> best.npz
  [A-vs-random] game 10025/40000 (total 10025)
  [A-vs-random] game 10050/40000 (total 10050)
  [A-vs-random] game 10075/40000 (total 10075)
  [A-vs-random] game 10100/40000 (total 10100)
  [A-vs-random] game 10125/40000 (total 10125)
  [A-vs-random] game 10150/40000 (total 10150)
  [A-vs-random] game 10175/40000 (total 10175)
  [A-vs-random] game 10200/40000 (total 10200)
  [A-vs-random] game 10225/40000 (total 10225)
  [A-vs-random] game 10250/40000 (total 10250)
  [A-vs-random] game 10275/40000 (total 10275)
  [A-vs-random] game 10300/40000 (total 10300)
  [A-vs-random] game 10325/40000 (total 10325)
  [A-vs-random] game 10350/40000 (total 10350)
  [A-vs-random] game 10375/40000 (total 10375)
  [A-vs-random] game 10400/40000 (total 10400)
  [A-vs-random] game 10425/40000 (total 10425)
  [A-vs-random] game 10450/40000 (total 10450)
  [A-vs-random] game 10475/40000 (total 10475)
  [A-vs-random] game 10500/40000 (total 10500)
  [A-vs-random] game 10525/40000 (total 10525)
  [A-vs-random] game 10550/40000 (total 10550)
  [A-vs-random] game 10575/40000 (total 10575)
  [A-vs-random] game 10600/40000 (total 10600)
  [A-vs-random] game 10625/40000 (total 10625)
  [A-vs-random] game 10650/40000 (total 10650)
  [A-vs-random] game 10675/40000 (total 10675)
  [A-vs-random] game 10700/40000 (total 10700)
  [A-vs-random] game 10725/40000 (total 10725)
  [A-vs-random] game 10750/40000 (total 10750)
  [A-vs-random] game 10775/40000 (total 10775)
  [A-vs-random] game 10800/40000 (total 10800)
  [A-vs-random] game 10825/40000 (total 10825)
  [A-vs-random] game 10850/40000 (total 10850)
  [A-vs-random] game 10875/40000 (total 10875)
  [A-vs-random] game 10900/40000 (total 10900)
  [A-vs-random] game 10925/40000 (total 10925)
  [A-vs-random] game 10950/40000 (total 10950)
  [A-vs-random] game 10975/40000 (total 10975)
  [A-vs-random] game 11000/40000 (total 11000)
  [A-vs-random] game 11025/40000 (total 11025)
  [A-vs-random] game 11050/40000 (total 11050)
  [A-vs-random] game 11075/40000 (total 11075)
  [A-vs-random] game 11100/40000 (total 11100)
  [A-vs-random] game 11125/40000 (total 11125)
  [A-vs-random] game 11150/40000 (total 11150)
  [A-vs-random] game 11175/40000 (total 11175)
  [A-vs-random] game 11200/40000 (total 11200)
  [A-vs-random] game 11225/40000 (total 11225)
  [A-vs-random] game 11250/40000 (total 11250)
  [A-vs-random] game 11275/40000 (total 11275)
  [A-vs-random] game 11300/40000 (total 11300)
  [A-vs-random] game 11325/40000 (total 11325)
  [A-vs-random] game 11350/40000 (total 11350)
  [A-vs-random] game 11375/40000 (total 11375)
  [A-vs-random] game 11400/40000 (total 11400)
  [A-vs-random] game 11425/40000 (total 11425)
  [A-vs-random] game 11450/40000 (total 11450)
  [A-vs-random] game 11475/40000 (total 11475)
  [A-vs-random] game 11500/40000 (total 11500)
  [A-vs-random] game 11525/40000 (total 11525)
  [A-vs-random] game 11550/40000 (total 11550)
  [A-vs-random] game 11575/40000 (total 11575)
  [A-vs-random] game 11600/40000 (total 11600)
  [A-vs-random] game 11625/40000 (total 11625)
  [A-vs-random] game 11650/40000 (total 11650)
  [A-vs-random] game 11675/40000 (total 11675)
  [A-vs-random] game 11700/40000 (total 11700)
  [A-vs-random] game 11725/40000 (total 11725)
  [A-vs-random] game 11750/40000 (total 11750)
  [A-vs-random] game 11775/40000 (total 11775)
  [A-vs-random] game 11800/40000 (total 11800)
  [A-vs-random] game 11825/40000 (total 11825)
  [A-vs-random] game 11850/40000 (total 11850)
  [A-vs-random] game 11875/40000 (total 11875)
  [A-vs-random] game 11900/40000 (total 11900)
  [A-vs-random] game 11925/40000 (total 11925)
  [A-vs-random] game 11950/40000 (total 11950)
  [A-vs-random] game 11975/40000 (total 11975)
  [A-vs-random] game 12000/40000 (total 12000)
  eval@12000: 90.0% vs random
  [A-vs-random] game 12025/40000 (total 12025)
  [A-vs-random] game 12050/40000 (total 12050)
  [A-vs-random] game 12075/40000 (total 12075)
  [A-vs-random] game 12100/40000 (total 12100)
  [A-vs-random] game 12125/40000 (total 12125)
  [A-vs-random] game 12150/40000 (total 12150)
  [A-vs-random] game 12175/40000 (total 12175)
  [A-vs-random] game 12200/40000 (total 12200)
  [A-vs-random] game 12225/40000 (total 12225)
  [A-vs-random] game 12250/40000 (total 12250)
  [A-vs-random] game 12275/40000 (total 12275)
  [A-vs-random] game 12300/40000 (total 12300)
  [A-vs-random] game 12325/40000 (total 12325)
  [A-vs-random] game 12350/40000 (total 12350)
  [A-vs-random] game 12375/40000 (total 12375)
  [A-vs-random] game 12400/40000 (total 12400)
  [A-vs-random] game 12425/40000 (total 12425)
  [A-vs-random] game 12450/40000 (total 12450)
  [A-vs-random] game 12475/40000 (total 12475)
  [A-vs-random] game 12500/40000 (total 12500)
  [A-vs-random] game 12525/40000 (total 12525)
  [A-vs-random] game 12550/40000 (total 12550)
  [A-vs-random] game 12575/40000 (total 12575)
  [A-vs-random] game 12600/40000 (total 12600)
  [A-vs-random] game 12625/40000 (total 12625)
  [A-vs-random] game 12650/40000 (total 12650)
  [A-vs-random] game 12675/40000 (total 12675)
  [A-vs-random] game 12700/40000 (total 12700)
  [A-vs-random] game 12725/40000 (total 12725)
  [A-vs-random] game 12750/40000 (total 12750)
  [A-vs-random] game 12775/40000 (total 12775)
  [A-vs-random] game 12800/40000 (total 12800)
  [A-vs-random] game 12825/40000 (total 12825)
  [A-vs-random] game 12850/40000 (total 12850)
  [A-vs-random] game 12875/40000 (total 12875)
  [A-vs-random] game 12900/40000 (total 12900)
  [A-vs-random] game 12925/40000 (total 12925)
  [A-vs-random] game 12950/40000 (total 12950)
  [A-vs-random] game 12975/40000 (total 12975)
  [A-vs-random] game 13000/40000 (total 13000)
  [A-vs-random] game 13025/40000 (total 13025)
  [A-vs-random] game 13050/40000 (total 13050)
  [A-vs-random] game 13075/40000 (total 13075)
  [A-vs-random] game 13100/40000 (total 13100)
  [A-vs-random] game 13125/40000 (total 13125)
  [A-vs-random] game 13150/40000 (total 13150)
  [A-vs-random] game 13175/40000 (total 13175)
  [A-vs-random] game 13200/40000 (total 13200)
  [A-vs-random] game 13225/40000 (total 13225)
  [A-vs-random] game 13250/40000 (total 13250)
  [A-vs-random] game 13275/40000 (total 13275)
  [A-vs-random] game 13300/40000 (total 13300)
  [A-vs-random] game 13325/40000 (total 13325)
  [A-vs-random] game 13350/40000 (total 13350)
  [A-vs-random] game 13375/40000 (total 13375)
  [A-vs-random] game 13400/40000 (total 13400)
  [A-vs-random] game 13425/40000 (total 13425)
  [A-vs-random] game 13450/40000 (total 13450)
  [A-vs-random] game 13475/40000 (total 13475)
  [A-vs-random] game 13500/40000 (total 13500)
  [A-vs-random] game 13525/40000 (total 13525)
  [A-vs-random] game 13550/40000 (total 13550)
  [A-vs-random] game 13575/40000 (total 13575)
  [A-vs-random] game 13600/40000 (total 13600)
  [A-vs-random] game 13625/40000 (total 13625)
  [A-vs-random] game 13650/40000 (total 13650)
  [A-vs-random] game 13675/40000 (total 13675)
  [A-vs-random] game 13700/40000 (total 13700)
  [A-vs-random] game 13725/40000 (total 13725)
  [A-vs-random] game 13750/40000 (total 13750)
  [A-vs-random] game 13775/40000 (total 13775)
  [A-vs-random] game 13800/40000 (total 13800)
  [A-vs-random] game 13825/40000 (total 13825)
  [A-vs-random] game 13850/40000 (total 13850)
  [A-vs-random] game 13875/40000 (total 13875)
  [A-vs-random] game 13900/40000 (total 13900)
  [A-vs-random] game 13925/40000 (total 13925)
  [A-vs-random] game 13950/40000 (total 13950)
  [A-vs-random] game 13975/40000 (total 13975)
  [A-vs-random] game 14000/40000 (total 14000)
  eval@14000: 97.5% vs random
  [A-vs-random] game 14025/40000 (total 14025)
  [A-vs-random] game 14050/40000 (total 14050)
  [A-vs-random] game 14075/40000 (total 14075)
  [A-vs-random] game 14100/40000 (total 14100)
  [A-vs-random] game 14125/40000 (total 14125)
  [A-vs-random] game 14150/40000 (total 14150)
  [A-vs-random] game 14175/40000 (total 14175)
  [A-vs-random] game 14200/40000 (total 14200)
  [A-vs-random] game 14225/40000 (total 14225)
  [A-vs-random] game 14250/40000 (total 14250)
  [A-vs-random] game 14275/40000 (total 14275)
  [A-vs-random] game 14300/40000 (total 14300)
  [A-vs-random] game 14325/40000 (total 14325)
  [A-vs-random] game 14350/40000 (total 14350)
  [A-vs-random] game 14375/40000 (total 14375)
  [A-vs-random] game 14400/40000 (total 14400)
